,VID,Type,Number,Republicans,Democrats,Others
23014,6697,Present,3,1,2,0
23015,6697,Not Voting,28,11,17,0
23016,6698,Yea,48,14,34,0
23017,6698,Nay,39,22,15,2
23018,6698,Not Voting,13,6,7,0
23019,6699,Yea,73,23,48,2
23020,6699,Nay,13,13,0,0
23021,6699,Not Voting,14,6,8,0
23022,6700,Yea,21,17,4,0
23023,6700,Nay,64,19,43,2
23024,6700,Not Voting,15,6,9,0
23025,6701,Yea,25,21,3,1
23026,6701,Nay,61,15,45,1
23027,6701,Not Voting,14,6,8,0
23028,6702,Yea,27,20,6,1
23029,6702,Nay,60,16,43,1
23030,6702,Not Voting,13,6,7,0
23031,6703,Yea,24,20,2,2
23032,6703,Nay,63,16,47,0
23033,6703,Not Voting,13,6,7,0
23034,6704,Yea,17,16,1,0
23035,6704,Nay,69,20,47,2
23036,6704,Not Voting,14,6,8,0
23037,6705,Yea,27,23,2,2
23038,6705,Nay,59,13,46,0
23039,6705,Not Voting,14,6,8,0
23040,6706,Yea,85,36,47,2
23041,6706,Nay,1,0,1,0
23042,6706,Not Voting,14,6,8,0
23043,6707,Yea,79,29,48,2
23044,6707,Nay,7,7,0,0
23045,6707,Not Voting,14,6,8,0
23046,6708,Yea,25,14,11,0
23047,6708,Nay,63,22,39,2
23048,6708,Not Voting,12,6,6,0
23049,6709,Yea,31,22,7,2
23050,6709,Nay,57,14,43,0
23051,6709,Not Voting,12,6,6,0
23052,6710,Yea,29,24,4,1
23053,6710,Nay,59,12,46,1
23054,6710,Not Voting,12,6,6,0
23055,6711,Yea,60,26,32,2
23056,6711,Nay,27,9,18,0
23057,6711,Not Voting,13,7,6,0
23058,6712,Yea,48,30,16,2
23059,6712,Nay,38,5,33,0
23060,6712,Not Voting,14,7,7,0
23061,6713,Yea,36,15,19,2
23062,6713,Nay,49,20,29,0
23063,6713,Not Voting,15,7,8,0
23064,6714,Yea,78,30,47,1
23065,6714,Nay,6,5,0,1
23066,6714,Not Voting,16,7,9,0
23067,6715,Yea,88,36,50,2
23068,6715,Not Voting,12,6,6,0
23069,6716,Yea,76,32,43,1
23070,6716,Not Voting,24,10,13,1
23071,6717,Yea,76,32,43,1
23072,6717,Not Voting,24,10,13,1
23073,6718,Yea,36,26,8,2
